model,r2_test,rmse_test,mae_test,mse_test,r2_train,rmse_train,mae_train,mse_train,fit_time_s,predict_time_s
SVR,0.6934549590903707,22.525672382361837,17.646708120665934,507.40591627749876,0.6393999129064654,23.277350371913226,18.010120397283444,541.8350403368088,0.0159,0.0094
SVR+Poly2,0.6918631246729265,22.584082577134275,17.654756795533423,510.04078585081993,0.6386772356532087,23.300663721568867,18.036468980259055,542.9209298656356,0.0134,
LinearRegression,0.6863179338726437,22.786386570666327,17.811163055082964,519.2194129478427,0.6368344044753113,23.36000758664529,18.216307900948113,545.6899544481254,0.0008,0.0
RandomForest,0.49566023541805204,28.892972329664946,21.781398569774378,834.8038500427842,0.9152713851943066,11.283288254036831,8.621845799534,127.31259382368553,0.1828,0.0272
